Station Name,Latitude,Longitude
Punjabi Bagh Delhi ,28.672995,77.1461239
Punjabi Bagh West Delhi ,28.6727663,77.1392109
Qutab Minar Delhi ,28.52416565,77.1858629
R.K Puram Delhi ,28.5503864,77.1855171
Raja Nahar Singh,28.340002,77.3164509
Raj Bagh Delhi ,28.6989183,77.0530355
Rajdhani Park Delhi ,28.6823085,77.0439437
Rajendra Place Delhi ,28.6424955,77.1782756
Rajiv Chowk Delhi ,28.6327786,77.2196985
Rajouri Garden Delhi ,28.6490563,77.1227198
Ramakrishna Ashram Marg Delhi ,28.6392436,77.2085787
Ramesh Nagar Delhi ,28.6527444,77.1316496
Rithala Delhi ,28.7208064,77.1071813
Rohini East Delhi ,28.7079009,77.1259691
"Rohini Sector 18, 19 Delhi ",28.7383477,77.1398323
Rohini West Delhi ,28.7149569,77.115385
Sadar Bazaar Cantonment Delhi ,28.5771509,77.1111533
Saket Delhi ,28.521168,77.2022237
Samaypur Badli Delhi ,28.7446158,77.1382654
Sant Surdas (Sihi),28.3546659,77.31624739
Sarai Delhi ,28.6627515,77.1852561
Sarita Vihar Delhi ,28.528632,77.2884438
Sarojini Nagar Delhi ,28.575817,77.1980786
Satguru Ramsingh Marg Delhi ,28.6619327,77.1574772
Sector 28 Delhi ,28.54525655,77.03257609
Seelampur Delhi ,28.6698165,77.2668137
Shadipur Delhi ,28.6516362,77.1582947
Shahdara Delhi ,28.6733333,77.2890248
Shaheed Nagar Delhi ,28.61018,77.3728729
Shaheed Sthal,28.6706449,77.4154736
Shakurpur Delhi ,28.6857668,77.1496094
Shalimar Bagh Delhi ,28.7019574,77.1654317
Shankar Vihar Delhi ,28.5608275,77.140254
Shastri Nagar Delhi ,28.6700885,77.1818589
Shastri Park Delhi ,28.6684339,77.2505301
Shiv Vihar Delhi ,28.721381,77.2894599
Shivaji Park Delhi ,28.6750317,77.1304722
Shivaji Stadium Delhi ,28.6326155,77.21389022
Shyam Park Delhi ,28.6988072,77.26846413
Sikandarpur Delhi ,28.4813147,77.0909313
Sir Vishweshwaraiah Moti Bagh Delhi ,28.5785326,77.175741
South Extension Delhi ,28.5685664,77.2205677
Subhash Nagar Delhi ,28.6404593,77.1051815
Sukhdev Vihar Delhi ,28.5597477,77.2749004
Sultanpur Delhi ,28.4991235,77.1613745
Supreme Court Delhi ,28.6216933,77.23913847
Tagore Garden Delhi ,28.6437265,77.11282
Terminal 1-IGI Airport Delhi ,28.5656684,77.122758
Tikri Border Delhi ,28.6880254,76.9640828
Tikri Kalan Delhi ,28.6868661,76.9772069
Tilak Nagar Delhi ,28.6365482,77.0964961
Tis Hazari Delhi ,28.6671626,77.2166306
Trilokpuri Sanjay Lake Delhi ,28.613453,77.3088549
Tughlakabad Station Delhi ,28.50254315,77.29938254
Udyog Bhawan Delhi ,28.6105302,77.2131076
Udyog Nagar Delhi ,28.681103,77.0808492
Uttam Nagar East Delhi ,28.6248465,77.0652861
Uttam Nagar West Delhi ,28.621757,77.0557122
Vaishali Delhi ,28.6453286,77.3243485
Vasant Vihar Delhi ,28.557808,77.1610899
Vidhan Sabha Delhi ,28.6863222,77.2217271
Vinobapuri Delhi ,28.565871,77.2492973
Vishwa Vidyalaya Delhi ,28.6950369,77.2147192
Welcome Delhi ,28.6723623,77.2770716
Yamuna Bank Delhi ,28.6232784,77.26792405
